名字,性别,时间,评论,点赞数,回复数
御坂10398号,保密,2020-06-05 02:29:50,还是看这农村好假,0,0
辣鸡1群管理员,保密,2020-06-05 02:27:46,真—烤肉味薯片 还可搭配黄瓜、番茄可以吃到烤肉味黄瓜味蕃茄味薯片的复合口感（￣▽￣）；搭配牛肉土豆泥还增加了牛肉味 啊啊啊啊好想尝尝是啥味道。,0,0
带着话筒的灯光师,保密,2020-06-05 02:24:33,好啊 好啊，做饭和看人做饭应该是我最大的放松了，看到没见过的吃法真的是不一样的快乐体验，就是放摄像机找角度应该挺累的눈_눈，UP你加油。,0,0
缨花饼,保密,2020-06-05 02:20:58,土豆炖牛肉，炖猪肉，是去学校食堂要抢的菜,0,0
林天圆,保密,2020-06-05 02:20:38,[打call][打call][打call][打call][打call],0,0
封夕酒儿,保密,2020-06-05 02:13:04,你们看的是美食，我在想的是怎么把up主弄回我家给我做吃的。。,0,0
封夕酒儿,保密,2020-06-05 02:12:11,我在虎牙上看见的直播才知道有你这么一个奇女子,0,0
八雲紫紫紫难,男,2020-06-05 02:11:18,百早味一箱坚果37，一次性买了2箱也是37？有没有要上的？,0,0
你的心上鸡,男,2020-06-05 02:05:49,心疼老婆的手,1,0
YUI要姓柳川,女,2020-06-05 02:05:12,仙女兜住的是花，而我的睡衣兜住的却是半斤小番茄……[tv_思考][tv_思考][tv_思考],0,1
不爱吃苦瓜的八一,保密,2020-06-05 02:05:06,我真的可以,0,0
gachino,保密,2020-06-05 01:51:23,好几年前看过UP的视频，直到UP出名了我都不知道这系列视频作者是谁，今天有幸刷到原来世间传闻的李子柒就是你,2,0
津天想吃小贝,女,2020-06-05 01:48:19,土豆蒸熟之后切厚片下锅里炸一下（不用太多油不需要漫过土豆）再撒上盐 也无敌好吃[打call][打call],0,0
绿了世界,女,2020-06-05 01:44:30,其实干活的人都会有受伤的，不是小心一点就能避免的,0,0
冰封下的生命,保密,2020-06-05 01:43:35,好贤惠勤快，该取个老公了[doge],0,0
S_沙沙,女,2020-06-05 01:43:24,我也是巨喜欢土豆！,1,0
雪甄甄,女,2020-06-05 01:40:19,我馋了，我的口水一直在酝酿,0,0
bili_16604350385,男,2020-06-05 01:39:37,想知道花生的一生[调皮][调皮],0,0
咲良啊,女,2020-06-05 01:38:18,"我觉得没有人不爱吃土豆的吧！
一颗土豆大卸八块埋土里等啊等，
每一块都能结出好多好多小土豆！
每颗小土豆又能做成土豆烧排骨，酸辣土豆粉，土豆泥、土豆薯片…等等等等……
你的家乡还有没啥地道的土豆吃法啊？",0,0
关根大师,保密,2020-06-05 01:37:39,看完视频不仅仅被馋的直流，还被种草了柒姐的旗袍，有那位姐妹找到同款，或者有好看舒服的旗袍的，可以踢我一脚吗，蹲,0,0
席格纳汀,男,2020-06-05 01:30:12,看了半天，觉得最后那个炒土豆丝可以试一下。。。,1,0
Firstkissu,保密,2020-06-05 01:28:30,@刘雨昕 速速来看,0,0
离黎未央,保密,2020-06-05 01:27:40,我爱土豆,0,0
rockmanli李,保密,2020-06-05 01:27:14,子柒视频里的小细节真的很让人感动,0,0
亲海之家,男,2020-06-05 01:27:01,"缺不缺扫地的
一盘土豆丝，一碗米饭，我够了！",0,0
布鲁布鲁冒泡泡,保密,2020-06-05 01:25:49,"挺久没关注李子柒了，看到这视频,emmm感觉做菜好厉害啊..看着也好吃",0,0
白蔷デ薇之夜,保密,2020-06-05 01:15:06,政治选择题第17题,0,0
让我在这沉沦,保密,2020-06-05 01:12:02,好想我奶奶...,0,0
74994665568_bili,保密,2020-06-05 01:11:38,能把生活过成诗，是我们每个人的梦想！谢谢你让我们在你的生活里陶醉，在这短暂的时候，让我感觉到什么是岁月美如画，诗酒趁年华！,0,0
汝也配之,保密,2020-06-05 01:08:30,莫名想哭、但又不知道为什么,0,0
团子大超人,保密,2020-06-05 01:07:07,我不相信有人配娶这位仙女,0,0
小菠萝鸭,保密,2020-06-05 01:02:48,希望子柒和奶奶永远健康快乐，看你的视频真的很治愈。,0,0
Jean和动动的频道,男,2020-06-05 00:54:09,"刚刚发现子柒这辑在油管竟然排进us trending #7,这是个大好事儿，很明显评论里多了好多新观众。宝藏女孩力压美国那些破事儿，也让他们好好瞧瞧咱们与世无争的气节[点赞][鼓掌][奋斗]",1,1
青衣允公子,保密,2020-06-05 00:48:37,[支持],0,0
熊孩子他姥爷,保密,2020-06-05 00:45:53,这就是仙女吗，[热词系列_爱了爱了],1,0
鲸落WalFallen,男,2020-06-05 00:45:19,@育碧中国,1,0
riyueyu,男,2020-06-05 00:41:25,好强，这么年轻，啥都会做,0,0
Aligay,保密,2020-06-05 00:39:17,神仙up,0,0
酣睡的小屁屁,保密,2020-06-05 00:36:36,看李子柒的作品，仅仅寻求短暂的宁静！,0,0
琳恩天气晴,保密,2020-06-05 00:36:16,看到茉莉这种香香的花，就想到蓟马。我看子柒的园子里也没黄板蓝板，估计也不会打药，要怎么控制虫害呀？有没有人知道？我被蓟马虐惨了。,0,0
混沌二泣,男,2020-06-05 00:35:26,这期真的馋,0,0
